pwsid,Name,population,service_connections,state_classification,activity_status_cd,regulating_agency,carceral_sys,count_of_viols_over5yrs_mcl,count_of_viols_over5yrs_mon,binary_viol_over5yrs_mcl,binary_viol_over5yrs_mon,CASDWIS_County,CASDWIS_SourceType,watersource,purchased,Water_System_Name,County,Regulating_agency,Water_System_Type,Service_Connections,Population,Primary_Service_Area,Water_Quality_Category_Score,Accessibility_Category_Score,Affordability_Category_Score,TMF_Capacity_Category_Score,Total_Risk_Assessment_Score,Automatically_At_Risk,Risk_Assessment_Result,Failing_Status,SAFER_Status,Number_of_Water_Sources,Absence_of_Interties,Source_Capacity_Violations,Bottled_Water_or_Hauled_Water_Reliance,Significant_Deficiencies,SC3i_Count_Distribution,SC5e_Drought_Impact,Distributiondis_any,n_ccr_downloaded,n_ccr_missing
CA1500401,METTLER COUNTY WATER DISTRICT,90,42,COMMUNITY,A,DISTRICT 19 - TEHACHAPI,non_carceral,4,1,1,1,KERN  ,GW,GW,Not purchased,METTLER COUNTY WATER DISTRICT,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,42,90,RESIDENTIAL AREA,3,1,0,0,1,--,At-Risk,Failing,Failing,2,Y,N,N,0,NA,NA,NA,4,0
CA1500404,PINEBROOK COMMUNITY WATER WELL,68,42,COMMUNITY,A,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0,KERN  ,GW,GW,Not purchased,PINEBROOK COMMUNITY WATER WELL,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,42,68,RESIDENTIAL AREA,1,0.33,1.33,0,0.67,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,2,Y,N,N,0,NA,NA,NA,4,0
CA1500405,"AERIAL ACRES WATER COMPANY, INC.",87,49,COMMUNITY,A,DISTRICT 19 - TEHACHAPI,non_carceral,0,4,0,1,KERN  ,GW,GW,Not purchased,"AERIAL ACRES WATER COMPANY, INC.",KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,49,87,RESIDENTIAL AREA,3,0.33,1,2,1.58,--,At-Risk,Failing,Failing,2,Y,N,N,0,NA,NA,NA,1,3
CA1500406,TRADEWIND WATER ASSOC.,632,219,COMMUNITY,A,DISTRICT 19 - TEHACHAPI,non_carceral,3,2,1,1,KERN  ,GW,GW,Not purchased,TRADEWIND WATER ASSOC.,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,219,632,RESIDENTIAL AREA,2.5,0.33,1.67,0,1.13,--,At-Risk,Failing,Failing,2,Y,N,N,0,NA,NA,NA,4,0
CA1500407,CWS-SPLIT MOUNTAIN WATER SYSTEM,226,159,COMMUNITY,A,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0,KERN  ,GU,GW,Not purchased,CWS-SPLIT MOUNTAIN WATER SYSTEM,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,161,226,RESIDENTIAL AREA,1.25,0.33,1.33,0.33,0.81,--,At-Risk,Non-Failing,At-Risk,3,Y,N,N,0,0,0,0,4,0
CA1500409,BROCK MUTUAL WATER COMPANY,462,155,COMMUNITY,A,DISTRICT 12 - VISALIA,non_carceral,4,0,1,0,KERN  ,GW,GW,Not purchased,BROCK MUTUAL WATER COMPANY,KERN,DISTRICT 12 - VISALIA,COMMUNITY,155,462,RESIDENTIAL AREA,2.75,1,0.33,0.33,1.1,--,At-Risk,Failing,Failing,2,Y,N,N,0,0,0,0,4,0
CA1500413,TEJON RANCH MAIN HEADQUARTERS,132,33,COMMUNITY,A,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0,KERN  ,GW,GW,Not purchased,TEJON RANCH MAIN HEADQUARTERS,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,33,132,OTHER TRANSIENT AREA,1.5,2,0,0.67,1.04,--,At-Risk,Non-Failing,At-Risk,1,Y,N,N,0,NA,NA,NA,4,0
CA1500415,TEJON RANCH GRAPEVINE WATER,2207,16,NON-TRANSIENT NON-COMMUNITY,A,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0,KERN  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0
CA1500424,LANDS OF PROMISE MWC,174,63,COMMUNITY,A,DISTRICT 19 - TEHACHAPI,non_carceral,5,0,1,0,KERN  ,GW,GW,Not purchased,LANDS OF PROMISE MWC,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,63,174,RESIDENTIAL AREA,2,0.33,0.33,0.67,0.83,--,At-Risk,Failing,Failing,4,Y,N,N,0,NA,NA,NA,4,0
CA1500426,ROSE VILLA APARTMENTS,65,32,COMMUNITY,A,DISTRICT 19 - TEHACHAPI,non_carceral,2,0,1,0,KERN  ,GW,GW,Not purchased,ROSE VILLA APARTMENTS,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,32,65,OTHER RESIDENTIAL AREA,2,1.5,0.33,1,1.21,--,At-Risk,Failing,Failing,1,Y,N,N,0,NA,NA,NA,4,0
CA1500436,HUNGRY GULCH MWC,74,36,COMMUNITY,A,DISTRICT 19 - TEHACHAPI,non_carceral,5,1,1,1,KERN  ,GW,GW,Not purchased,HUNGRY GULCH MWC,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,36,74,RESIDENTIAL AREA,3.75,0.33,1.67,0,1.44,--,At-Risk,Failing,Failing,3,Y,N,N,0,0,0,0,4,0
CA1500443,CANYON MEADOWS MUTUAL WATER,465,141,COMMUNITY,A,DISTRICT 19 - TEHACHAPI,non_carceral,1,1,1,1,KERN  ,GW,GW,Not purchased,CANYON MEADOWS MUTUAL WATER,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,141,465,RESIDENTIAL AREA,5.08,0.33,1.67,0,1.77,--,At-Risk,Non-Failing,At-Risk,3,Y,N,N,0,NA,NA,NA,4,0
CA1500447,SIERRA BREEZE MUTUAL WATER COMPANY,150,60,COMMUNITY,A,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0,KERN  ,GW,GW,Not purchased,SIERRA BREEZE MUTUAL WATER COMPANY,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,60,150,RESIDENTIAL AREA,2.5,1,1.08,0,1.15,--,At-Risk,Non-Failing,At-Risk,2,Y,N,N,0,NA,NA,NA,4,0
CA1500448,HILLVIEW ACRES MUTUAL WATER COMPANY,36,47,COMMUNITY,A,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0,KERN  ,GW,GW,Not purchased,HILLVIEW ACRES MUTUAL WATER COMPANY,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,47,36,RESIDENTIAL AREA,0,1.33,1.42,0,0.69,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,1,Y,N,N,0,NA,NA,NA,4,0
CA1500449,FOURTH STREET WATER SYSTEM,56,29,COMMUNITY,A,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0,KERN  ,GW,GW,Not purchased,FOURTH STREET WATER SYSTEM,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,29,56,RESIDENTIAL AREA,2,1,1.42,0,1.11,--,At-Risk,Non-Failing,At-Risk,3,Y,N,N,0,NA,NA,NA,4,0
CA1500452,RIVERDALE VILLAGE,750,290,COMMUNITY,A,DISTRICT 12 - VISALIA,non_carceral,0,0,0,0,KERN  ,GW,GW,Not purchased,RIVERDALE VILLAGE,KERN,DISTRICT 12 - VISALIA,COMMUNITY,290,750,MOBILE HOME PARK,0.75,0.67,0.67,1,0.77,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,2,N,N,N,0,0,0,0,4,0
CA1500455,WILLIAM FISHER MEMORIAL WATER COMPANY,56,16,COMMUNITY,A,DISTRICT 19 - TEHACHAPI,non_carceral,5,0,1,0,KERN  ,GW,GW,Not purchased,WILLIAM FISHER MEMORIAL WATER COMPANY,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,16,56,RESIDENTIAL AREA,2.5,2,0.75,2,1.81,--,At-Risk,Failing,Failing,1,Y,N,N,0,0,1,0,4,0
CA1500458,R.S. MUTUAL WATER COMPANY,67,22,COMMUNITY,A,DISTRICT 19 - TEHACHAPI,non_carceral,13,0,1,0,KERN  ,GW,GW,Not purchased,R.S. MUTUAL WATER COMPANY,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,22,67,RESIDENTIAL AREA,4.5,3,1.08,0,2.15,At-Risk,At-Risk,Failing,Failing,1,Y,N,Y,0,NA,NA,NA,4,0
CA1500459,LAKE OF THE WOODS MOBILE VILLAGE,82,86,COMMUNITY,A,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0,KERN  ,GW,GW,Not purchased,LAKE OF THE WOODS MOBILE VILLAGE,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,86,82,MOBILE HOME PARK,1,1.5,0.67,0.67,0.96,--,At-Risk,Non-Failing,At-Risk,1,Y,N,N,0,0,0,0,4,0
CA1500464,LAKE ISABELLA KOA CAMPGROUND,280,68,TRANSIENT NON-COMMUNITY,A,DISTRICT 19 - TEHACHAPI,non_carceral,5,0,1,0,KERN  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4
CA1500465,OAK KNOLLS MUTUAL WATER COMPANY,123,47,COMMUNITY,A,DISTRICT 19 - TEHACHAPI,non_carceral,1,0,1,0,KERN  ,GW,GW,Not purchased,OAK KNOLLS MUTUAL WATER COMPANY,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,47,123,RESIDENTIAL AREA,3,0.33,0.33,0.67,1.08,--,At-Risk,Failing,Failing,3,Y,N,N,0,0,0,0,4,0
CA1500466,A.F.P. MUTUAL WATER COMPANY,710,220,COMMUNITY,A,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0,KERN  ,GW,GW,Not purchased,A.F.P. MUTUAL WATER COMPANY,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,220,710,RESIDENTIAL AREA,1.25,0.33,0.67,0.17,0.61,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,4,Y,N,N,0,0,0,0,4,0
CA1500475,KRISTA MUTUAL WATER COMPANY,504,179,COMMUNITY,A,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0,KERN  ,GW,GW,Not purchased,KRISTA MUTUAL WATER COMPANY,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,179,504,RESIDENTIAL AREA,2.5,1.33,1.67,0.67,1.54,--,At-Risk,Failing,Failing,1,Y,N,N,0,0,0,0,4,0
CA1500478,"VALLEY ESTATES POA, INC.",386,117,COMMUNITY,A,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0,KERN  ,GW,GW,Not purchased,"VALLEY ESTATES POA, INC.",KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,117,386,RESIDENTIAL AREA,0,0.33,1.67,0,0.5,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0,NA,NA,NA,4,0
CA1500481,RIVERNOOK CAMPGROUND,877,287,COMMUNITY,A,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0,KERN  ,GW,GW,Not purchased,RIVERNOOK CAMPGROUND,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,287,877,MOBILE HOME PARK,0,0.33,0.67,0,0.25,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0,NA,NA,NA,4,0
CA1500483,ALLEN ROAD MUTUAL WATER SYSTEM,195,59,COMMUNITY,A,DISTRICT 12 - VISALIA,non_carceral,0,0,0,0,KERN  ,GW,GW,Not purchased,ALLEN ROAD MUTUAL WATER SYSTEM,KERN,DISTRICT 12 - VISALIA,COMMUNITY,59,195,RESIDENTIAL AREA,0,1,1.08,0.67,0.69,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,2,Y,N,N,0,0,0,0,4,0
CA1500485,ANTELOPE VALLEY MOBILE ESTATES,60,28,COMMUNITY,A,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0,KERN  ,GW,GW,Not purchased,ANTELOPE VALLEY MOBILE ESTATES,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,28,60,MOBILE HOME PARK,0,0.33,0.67,0,0.25,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0,0,0,0,4,0
CA1500489,BRITE LAKE MUTUAL WATER COMPANY,89,32,COMMUNITY,A,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0,KERN  ,GW,GW,Not purchased,BRITE LAKE MUTUAL WATER COMPANY,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,32,89,RESIDENTIAL AREA,0,0.33,0.33,0,0.17,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0,0,0,0,4,0
CA1500491,INTERSTATE 5 UTILITY COMPANY,2947,21,NON-TRANSIENT NON-COMMUNITY,A,DISTRICT 12 - VISALIA,non_carceral,0,0,0,0,KERN  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,4,0
CA1500493,"EL ADOBE POA, INC.",200,80,COMMUNITY,A,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0,KERN  ,GW,GW,Not purchased,"EL ADOBE POA, INC.",KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,80,200,RESIDENTIAL AREA,2,1.17,1.67,0.67,1.38,--,At-Risk,Failing,Failing,2,Y,N,N,0,0,0,0,4,0
CA1500494,WILSON ROAD WATER COMMUNITY,66,20,COMMUNITY,A,DISTRICT 12 - VISALIA,non_carceral,4,0,1,0,KERN  ,GW,GW,Not purchased,WILSON ROAD WATER COMMUNITY,KERN,DISTRICT 12 - VISALIA,COMMUNITY,20,66,RESIDENTIAL AREA,3,2,1.08,0.5,1.65,--,At-Risk,Failing,Failing,1,Y,N,N,0,0,0,0,4,0
CA1500495,AERA ENERGY-LLC,1500,21,NON-TRANSIENT NON-COMMUNITY,A,DISTRICT 12 - VISALIA,non_carceral,0,0,0,0,KERN  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,4,0
CA1500507,ST. CLAIR RANCHOS MUTUAL WATER CO.,105,32,COMMUNITY,A,DISTRICT 12 - VISALIA,non_carceral,0,0,0,0,KERN  ,GW,GW,Not purchased,ST. CLAIR RANCHOS MUTUAL WATER CO.,KERN,DISTRICT 12 - VISALIA,COMMUNITY,32,105,RESIDENTIAL AREA,0,2.17,1.08,0.67,0.98,--,At-Risk,Non-Failing,At-Risk,1,Y,N,N,0,NA,NA,NA,4,0
CA1500516,TUT BROTHERS FARM #96,32,13,COMMUNITY,A,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0,KERN  ,GW,GW,Not purchased,TUT BROTHERS FARM #96,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,13,32,OTHER RESIDENTIAL AREA,0,0.33,0,0.67,0.25,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0,0,0,0,4,0
CA1500518,AGBAYANI VILLAGE WATER SYSTEM,38,2,COMMUNITY,A,DISTRICT 12 - VISALIA,non_carceral,0,0,0,0,KERN  ,GW,GW,Not purchased,AGBAYANI VILLAGE WATER SYSTEM,KERN,DISTRICT 12 - VISALIA,COMMUNITY,2,38,RESIDENTIAL AREA,1,2.17,0.67,0.67,1.13,--,At-Risk,Non-Failing,At-Risk,1,Y,N,N,0,0,0,0,4,0
CA1500525,LAKEVIEW RANCHOS MUTUAL WATER COMPANY,120,71,COMMUNITY,A,DISTRICT 19 - TEHACHAPI,non_carceral,4,0,1,0,KERN  ,GW,GW,Not purchased,LAKEVIEW RANCHOS MUTUAL WATER COMPANY,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,71,120,RESIDENTIAL AREA,2,0.33,1.67,1,1.25,--,At-Risk,Failing,Failing,2,Y,N,N,0,0,0,0,4,0
CA1500535,MANON MANOR MUTUAL WATER COMPANY,200,55,COMMUNITY,A,DISTRICT 12 - VISALIA,non_carceral,0,0,0,0,KERN  ,GW,GW,Not purchased,MANON MANOR MUTUAL WATER COMPANY,KERN,DISTRICT 12 - VISALIA,COMMUNITY,55,200,RESIDENTIAL AREA,1.5,0.67,1.08,0.67,0.98,--,At-Risk,Non-Failing,At-Risk,2,N,N,N,0,0,0,0,4,0
CA1500540,PINON VALLEY WATER COMPANY,112,39,COMMUNITY,A,DISTRICT 19 - TEHACHAPI,non_carceral,0,1,0,1,KERN  ,GW,GW,Not purchased,PINON VALLEY WATER COMPANY,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,39,112,RESIDENTIAL AREA,1.75,1.33,1,0.33,1.1,--,At-Risk,Non-Failing,At-Risk,1,Y,N,N,0,0,0,0,4,0
CA1500542,WILLOW SPRINGS MOBILE HOME PARK,275,104,COMMUNITY,A,DISTRICT 19 - TEHACHAPI,non_carceral,0,4,0,1,KERN  ,GW,GW,Not purchased,WILLOW SPRINGS MOBILE HOME PARK,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,104,275,MOBILE HOME PARK,0,1.33,0,1.33,0.67,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,1,Y,N,N,0,0,0,0,4,0
CA1500543,AGAPE MUTUAL WATER SYSTEM,50,16,COMMUNITY,A,DISTRICT 12 - VISALIA,non_carceral,0,0,0,0,KERN  ,GW,GW,Not purchased,AGAPE MUTUAL WATER SYSTEM,KERN,DISTRICT 12 - VISALIA,COMMUNITY,16,50,RESIDENTIAL AREA,0,0.67,1.08,0,0.44,--,Not At-Risk,Non-Failing,Not At-Risk,2,N,N,N,0,0,0,0,4,0
CA1500544,ENOS LANE PUBLIC UTILITY DISTRICT,365,89,COMMUNITY,A,DISTRICT 12 - VISALIA,non_carceral,0,0,0,0,KERN  ,GW,GW,Not purchased,ENOS LANE PUBLIC UTILITY DISTRICT,KERN,DISTRICT 12 - VISALIA,COMMUNITY,89,365,RESIDENTIAL AREA,0,1,1.5,0.67,0.79,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,2,Y,N,N,0,0,0,0,4,0
CA1500546,HARVEST MOON MUTUAL WATER CO,138,49,COMMUNITY,A,DISTRICT 12 - VISALIA,non_carceral,0,0,0,0,KERN  ,GW,GW,Not purchased,HARVEST MOON MUTUAL WATER CO,KERN,DISTRICT 12 - VISALIA,COMMUNITY,49,138,RESIDENTIAL AREA,2.25,0.67,1.08,0.67,1.17,--,At-Risk,Failing,Failing,3,N,N,N,0,0,0,0,4,0
CA1500550,WEST VALLEY MUTUAL WATER COMPANY,70,41,COMMUNITY,A,DISTRICT 19 - TEHACHAPI,non_carceral,0,1,0,1,KERN  ,GW,GW,Not purchased,WEST VALLEY MUTUAL WATER COMPANY,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,41,70,RESIDENTIAL AREA,0,1,1.33,0.67,0.75,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,2,Y,N,N,0,NA,NA,NA,4,0
CA1500553,RANCHOS DEL RIO,62,24,COMMUNITY,A,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0,KERN  ,GW,GW,Not purchased,RANCHOS DEL RIO,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,24,62,RESIDENTIAL AREA,0,1,0,0.67,0.42,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0,0,0,0,4,0
CA1500554,EAST INYOKERN MUTUAL WATER,87,28,COMMUNITY,A,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0,KERN  ,GW,GW,Not purchased,EAST INYOKERN MUTUAL WATER,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,28,87,RESIDENTIAL AREA,1,1,0.33,0,0.58,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0,0,0,0,4,0
CA1500555,MUSTANG MUTUAL WATER SYSTEM,200,51,COMMUNITY,A,DISTRICT 12 - VISALIA,non_carceral,0,0,0,0,KERN  ,GW,GW,Not purchased,MUSTANG MUTUAL WATER SYSTEM,KERN,DISTRICT 12 - VISALIA,COMMUNITY,51,200,RESIDENTIAL AREA,2.5,2.67,0,0,1.29,--,At-Risk,Failing,Failing,1,Y,N,N,0,0,0,0,4,0
CA1500556,HART FLAT BEAR MUTUAL WATER,56,28,COMMUNITY,A,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0,KERN  ,GW,GW,Not purchased,HART FLAT BEAR MUTUAL WATER,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,28,56,RESIDENTIAL AREA,0.25,0.33,0,0,0.15,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0,0,0,0,4,0
CA1500557,STOCKDALE RANCHOS MUTUAL WATER CO,393,95,COMMUNITY,A,DISTRICT 12 - VISALIA,non_carceral,0,0,0,0,KERN  ,GW,GW,Not purchased,STOCKDALE RANCHOS MUTUAL WATER CO,KERN,DISTRICT 12 - VISALIA,COMMUNITY,95,393,RESIDENTIAL AREA,0,2,0,0.33,0.58,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0,0,0,0,4,0
CA1500560,KRANENBURG WATER SYSTEM,42,15,COMMUNITY,A,DISTRICT 12 - VISALIA,non_carceral,0,0,0,0,KERN  ,GW,GW,Not purchased,KRANENBURG WATER SYSTEM,KERN,DISTRICT 12 - VISALIA,COMMUNITY,15,42,RESIDENTIAL AREA,1.5,2.17,0,0,0.92,--,At-Risk,Non-Failing,At-Risk,1,Y,N,N,0,0,0,0,4,0
CA1500561,ROUND MOUNTAIN WATER COMPANY,50,17,COMMUNITY,A,DISTRICT 12 - VISALIA,non_carceral,4,0,1,0,KERN  ,GW,GW,Not purchased,ROUND MOUNTAIN WATER COMPANY,KERN,DISTRICT 12 - VISALIA,COMMUNITY,17,50,RESIDENTIAL AREA,3.25,1,1.33,0,1.4,--,At-Risk,Non-Failing,At-Risk,2,Y,N,N,0,0,0,0,4,0
CA1500563,CHINA LAKE ACRES MUTUAL WATER COMPANY,198,60,COMMUNITY,A,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0,KERN  ,GW,GW,Not purchased,CHINA LAKE ACRES MUTUAL WATER COMPANY,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,60,198,RESIDENTIAL AREA,0,1,0.33,0.67,0.5,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0,NA,NA,NA,4,0
CA1500564,HOMETOWN WATER ASSOCIATION,25,12,COMMUNITY,A,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0,KERN  ,GW,GW,Not purchased,HOMETOWN WATER ASSOCIATION,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,12,25,RESIDENTIAL AREA,0,2,1.08,1,1.02,--,At-Risk,Non-Failing,At-Risk,1,Y,N,N,0,0,0,0,4,0
CA1500566,SPRING MOUNTAIN MUTUAL WATER COMPANY,26,13,COMMUNITY,A,DISTRICT 19 - TEHACHAPI,non_carceral,2,0,1,0,KERN  ,GWP,GW,Purchased,SPRING MOUNTAIN MUTUAL WATER COMPANY,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,13,26,RESIDENTIAL AREA,1,4,0.33,1,1.58,At-Risk,At-Risk,Failing,Failing,0,Y,Y,Y,0,NA,NA,NA,3,1
CA1500569,VALLEY VIEW ESTATES MUTUAL WATER CO,97,50,COMMUNITY,A,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0,KERN  ,GW,GW,Not purchased,VALLEY VIEW ESTATES MUTUAL WATER CO,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,50,97,RESIDENTIAL AREA,0.63,0.33,0,0,0.24,--,Not At-Risk,Non-Failing,Not At-Risk,4,Y,N,N,0,NA,NA,NA,4,0
CA1500571,KERN MOBILE ESTATES LLC,73,60,COMMUNITY,A,DISTRICT 19 - TEHACHAPI,non_carceral,5,0,1,0,KERN  ,GW,GW,Not purchased,KERN MOBILE ESTATES LLC,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,60,73,MOBILE HOME PARK,2.5,1.5,0.67,0,1.17,--,At-Risk,Failing,Failing,1,Y,N,N,0,NA,NA,NA,4,0
CA1500575,SAN JOAQUIN ESTATES MUTUAL WATER COMPANY,165,61,COMMUNITY,A,DISTRICT 12 - VISALIA,non_carceral,4,0,1,0,KERN  ,GW,GW,Not purchased,SAN JOAQUIN ESTATES MUTUAL WATER COMPANY,KERN,DISTRICT 12 - VISALIA,COMMUNITY,61,165,RESIDENTIAL AREA,3,2.17,1.33,0.67,1.79,--,At-Risk,Failing,Failing,1,Y,N,N,0,0,0,0,4,0
CA1500578,LONG CANYON WATER COMPANY CORP.,122,64,COMMUNITY,A,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0,KERN  ,GW,GW,Not purchased,LONG CANYON WATER COMPANY CORP.,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,64,122,RESIDENTIAL AREA,0.5,0.33,1.67,0.67,0.79,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,2,Y,N,N,0,NA,NA,NA,4,0
CA1500579,LIFE WATER CO-OP,35,18,COMMUNITY,A,DISTRICT 19 - TEHACHAPI,non_carceral,0,1,0,1,KERN  ,GW,GW,Not purchased,LIFE WATER CO-OP,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,18,27,RESIDENTIAL AREA,0.5,2,0.33,1,0.96,--,At-Risk,Non-Failing,At-Risk,1,Y,N,N,0,0,0,0,4,0
CA1500584,GOOSELAKE WATER COMPANY,90,32,COMMUNITY,A,DISTRICT 12 - VISALIA,non_carceral,1,0,1,0,KERN  ,GW,GW,Not purchased,GOOSELAKE WATER COMPANY,KERN,DISTRICT 12 - VISALIA,COMMUNITY,32,90,RESIDENTIAL AREA,3,0.67,0.17,0.67,1.13,--,At-Risk,Failing,Failing,2,N,N,N,0,0,0,0,4,0
CA1500585,OASIS PROPERTY OWNERS ASSOCIATION,100,39,COMMUNITY,A,DISTRICT 12 - VISALIA,non_carceral,0,0,0,0,KERN  ,GW,GW,Not purchased,OASIS PROPERTY OWNERS ASSOCIATION,KERN,DISTRICT 12 - VISALIA,COMMUNITY,39,100,RESIDENTIAL AREA,2.75,1.17,0.67,0.17,1.19,--,At-Risk,Failing,Failing,2,Y,N,N,0,0,0,0,4,0
CA1500588,SON SHINE PROPERTIES,438,106,COMMUNITY,A,DISTRICT 19 - TEHACHAPI,non_carceral,4,0,1,0,KERN  ,GW,GW,Not purchased,SON SHINE PROPERTIES,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,106,438,RESIDENTIAL AREA,3,1.17,0.67,1,1.46,--,At-Risk,Failing,Failing,2,Y,N,N,0,0,0,0,4,0
CA1500591,SWEET WATER CO-OP,47,15,COMMUNITY,A,DISTRICT 19 - TEHACHAPI,non_carceral,0,0,0,0,KERN  ,GW,GW,Not purchased,SWEET WATER CO-OP,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,15,47,RESIDENTIAL AREA,0,2,0.75,0.67,0.86,--,At-Risk,Non-Failing,At-Risk,1,Y,N,N,0,0,0,0,4,0
