PWSID,System_Name,County,Regulating_Agency,Water_Quality_Risk_Level_Display,Accessability_Risk_Level_Display,Affordability_Risk_Level_Display,TMF_Capacity_Risk_Level_Display,POPULATION ,SAFER_STATUS,Distinct count of PWSID,Funding Since 2017
CA1200518,RIVERSIDE CSD,HUMBOLDT,DISTRICT 01 - KLAMATH,No Risk,Low Risk,Low Risk,Low Risk,333,Not At-Risk,1,"$110,000 "
CA1200522,WHITETHORN ELEMENTARY SCHOOL,HUMBOLDT,DISTRICT 01 - KLAMATH,No Risk,High Risk,Low Risk,No Risk,42,Not At-Risk,1,$0 
CA1200538,MYERS FLAT M.W.S. INC.,HUMBOLDT,DISTRICT 01 - KLAMATH,Low Risk,Low Risk,High Risk,Low Risk,330,Potentially At-Risk,1,"$2,906,205 "
CA1200541,PHILLIPSVILLE C.S.D.,HUMBOLDT,DISTRICT 01 - KLAMATH,Low Risk,Low Risk,High Risk,Medium Risk,300,At-Risk,1,"$5,500,000 "
CA1200544,REDCREST WATER WORKS,HUMBOLDT,DISTRICT 01 - KLAMATH,No Risk,High Risk,Low Risk,No Risk,116,Not At-Risk,1,$0 
CA1200546,CASTERLIN SCHOOL,HUMBOLDT,DISTRICT 01 - KLAMATH,No Risk,High Risk,Medium Risk,Medium Risk,50,Potentially At-Risk,1,$0 
CA1200547,MILL CREEK M.W.C.,HUMBOLDT,DISTRICT 01 - KLAMATH,No Risk,High Risk,No Risk,No Risk,85,Not At-Risk,1,$0 
CA1200553,WEOTT C.S.D.,HUMBOLDT,DISTRICT 01 - KLAMATH,Low Risk,High Risk,Medium Risk,Low Risk,448,Failing,1,$0 
CA1200566,ORLEANS MUTUAL WATER COMPANY,HUMBOLDT,DISTRICT 01 - KLAMATH,Low Risk,High Risk,No Risk,Low Risk,85,Potentially At-Risk,1,"$232,285 "
CA1200587,BRICELAND C.S.D.,HUMBOLDT,DISTRICT 01 - KLAMATH,No Risk,High Risk,Low Risk,No Risk,75,Not At-Risk,1,$0 
CA1200588,SEAWOOD ESTATES MUTUAL WATER COMPANY,HUMBOLDT,DISTRICT 01 - KLAMATH,No Risk,Low Risk,High Risk,Low Risk,63,Not At-Risk,1,$0 
CA1200590,MOONSTONE HEIGHTS MWA,HUMBOLDT,DISTRICT 01 - KLAMATH,Low Risk,High Risk,High Risk,No Risk,33,At-Risk,1,$0 
CA1200591,BIG LAGOON PARK WATER CO.,HUMBOLDT,DISTRICT 01 - KLAMATH,No Risk,Low Risk,Medium Risk,Low Risk,70,Not At-Risk,1,$0 
CA1200592,BIG LAGOON CSD,HUMBOLDT,DISTRICT 01 - KLAMATH,Low Risk,Low Risk,High Risk,Low Risk,112,Potentially At-Risk,1,$0 
CA1200643,BEACH CREEK MOBILE HOME PARK,HUMBOLDT,DISTRICT 01 - KLAMATH,Low Risk,High Risk,Medium Risk,No Risk,67,Potentially At-Risk,1,$0 
CA1200671,BENBOW-DEL ORO W.C.,HUMBOLDT,DISTRICT 01 - KLAMATH,No Risk,High Risk,High Risk,No Risk,370,Potentially At-Risk,1,$0 
CA1200681,CUDDEBACK GRAMMAR SCHOOL,HUMBOLDT,DISTRICT 01 - KLAMATH,No Risk,High Risk,No Risk,No Risk,165,Not At-Risk,1,$0 
CA1200684,MATTOLE ELEMENTARY SCHOOL,HUMBOLDT,DISTRICT 01 - KLAMATH,No Risk,High Risk,Low Risk,No Risk,50,Not At-Risk,1,$0 
CA1200687,RIVERBEND MOBILE HOME PARK,HUMBOLDT,DISTRICT 01 - KLAMATH,No Risk,High Risk,Low Risk,Low Risk,60,Not At-Risk,1,$0 
CA1200701,ORICK C.S.D.,HUMBOLDT,DISTRICT 01 - KLAMATH,No Risk,Low Risk,High Risk,Low Risk,396,Potentially At-Risk,1,"$2,492,676 "
CA1200706,TRINIDAD EXTENDED STAY RV,HUMBOLDT,DISTRICT 01 - KLAMATH,Low Risk,High Risk,Medium Risk,Low Risk,130,At-Risk,1,$0 
CA1200707,MIRANDA C.S.D.,HUMBOLDT,DISTRICT 01 - KLAMATH,No Risk,Low Risk,Medium Risk,Low Risk,492,Not At-Risk,1,"$225,000 "
CA1200715,GREEN DIAMOND RESOURCE COMPANY - KORBEL,HUMBOLDT,DISTRICT 01 - KLAMATH,No Risk,Low Risk,Low Risk,Low Risk,250,Not At-Risk,1,$0 
CA1200718,WADDINGTON W.W.,HUMBOLDT,DISTRICT 01 - KLAMATH,No Risk,High Risk,No Risk,Low Risk,75,Not At-Risk,1,$0 
CA1200729,ORLEANS C.S.D.,HUMBOLDT,DISTRICT 01 - KLAMATH,Low Risk,High Risk,No Risk,No Risk,636,Failing,1,"$965,916 "
CA1200778,BRIDGEVILLE ELEM. SCHOOL,HUMBOLDT,DISTRICT 01 - KLAMATH,No Risk,High Risk,Low Risk,No Risk,50,Not At-Risk,1,$0 
CA1200817,KNEELAND SCHOOL,HUMBOLDT,DISTRICT 01 - KLAMATH,No Risk,High Risk,Low Risk,No Risk,40,Not At-Risk,1,$0 
CA1206002,PALOMINO ESTATES WATER COMPANY,HUMBOLDT,DISTRICT 01 - KLAMATH,Low Risk,High Risk,High Risk,High Risk,64,At-Risk,1,$0 
CA1206004,PALMER CREEK CSD,HUMBOLDT,DISTRICT 01 - KLAMATH,Low Risk,High Risk,High Risk,No Risk,320,Potentially At-Risk,1,$0 
CA1210001,"ARCATA, CITY OF",HUMBOLDT,DISTRICT 01 - KLAMATH,No Risk,No Risk,High Risk,Low Risk,"20,875",Not At-Risk,1,$0 
CA1210002,"BLUE LAKE, CITY OF",HUMBOLDT,DISTRICT 01 - KLAMATH,No Risk,Medium Risk,No Risk,Low Risk,"1,172",Not At-Risk,1,$0 
CA1210004,"EUREKA, CITY OF",HUMBOLDT,DISTRICT 01 - KLAMATH,No Risk,No Risk,Medium Risk,Low Risk,"27,078",Not At-Risk,1,$0 
CA1210006,"FORTUNA, CITY OF",HUMBOLDT,DISTRICT 01 - KLAMATH,No Risk,Low Risk,Low Risk,Low Risk,"12,133",Not At-Risk,1,$0 
CA1210007,DEL ORO WATER CO-FERNDALE,HUMBOLDT,DISTRICT 01 - KLAMATH,Low Risk,Low Risk,High Risk,Low Risk,"1,662",Not At-Risk,1,$0 
CA1210008,GARBERVILLE SANITARY DISTRICT,HUMBOLDT,DISTRICT 01 - KLAMATH,No Risk,Low Risk,High Risk,No Risk,"2,041",Not At-Risk,1,"$671,835 "
CA1210009,HUMBOLDT C.S.D.,HUMBOLDT,DISTRICT 01 - KLAMATH,No Risk,No Risk,Medium Risk,No Risk,"19,807",Not At-Risk,1,$0 
CA1210010,SCOTIA CSD,HUMBOLDT,DISTRICT 01 - KLAMATH,No Risk,High Risk,High Risk,No Risk,906,Potentially At-Risk,1,"$1,133,000 "
CA1210011,REDWAY C.S.D.,HUMBOLDT,DISTRICT 01 - KLAMATH,No Risk,Low Risk,Low Risk,No Risk,"1,207",Not At-Risk,1,$0 
CA1210012,"RIO DELL, CITY OF",HUMBOLDT,DISTRICT 01 - KLAMATH,Low Risk,Low Risk,High Risk,Low Risk,"3,300",Not At-Risk,1,"$13,276,289 "
CA1210013,HUMBOLDT BAY MWD,HUMBOLDT,DISTRICT 01 - KLAMATH,Not Assessed,Not Assessed,Not Assessed,Not Assessed,680,Not Assessed,1,$0 
CA1210015,WILLOW CREEK C.S.D.,HUMBOLDT,DISTRICT 01 - KLAMATH,No Risk,Low Risk,High Risk,Low Risk,"1,298",Not At-Risk,1,"$2,112,750 "
CA1210016,MCKINLEYVILLE C.S.D.,HUMBOLDT,DISTRICT 01 - KLAMATH,No Risk,Medium Risk,Low Risk,Low Risk,"16,900",Not At-Risk,1,$0 
CA1210017,MANILA COMMUNITY SERVICES DIST.,HUMBOLDT,DISTRICT 01 - KLAMATH,No Risk,Medium Risk,Low Risk,No Risk,750,Not At-Risk,1,"$4,277,277 "
CA1210018,"TRINIDAD, CITY OF",HUMBOLDT,DISTRICT 01 - KLAMATH,Medium Risk,High Risk,High Risk,Medium Risk,"1,072",At-Risk,1,$0 
CA1210019,HYDESVILLE CO. W.D.,HUMBOLDT,DISTRICT 01 - KLAMATH,No Risk,Low Risk,No Risk,Low Risk,"1,366",Not At-Risk,1,"$679,677 "
CA1210020,FIELDBROOK GLENDALE C.S.D.,HUMBOLDT,DISTRICT 01 - KLAMATH,No Risk,Medium Risk,No Risk,No Risk,"1,845",Not At-Risk,1,$0 
CA1210021,JACOBY CREEK CWD,HUMBOLDT,DISTRICT 01 - KLAMATH,No Risk,Medium Risk,Medium Risk,Low Risk,924,Not At-Risk,1,$0 
CA1210022,RESORT IMPROVEMENT DISTRICT #1,HUMBOLDT,DISTRICT 01 - KLAMATH,No Risk,No Risk,High Risk,Low Risk,803,Potentially At-Risk,1,"$4,834,163 "
CA1210023,LOLETA C.S.D.,HUMBOLDT,DISTRICT 01 - KLAMATH,Low Risk,High Risk,Medium Risk,Low Risk,828,Potentially At-Risk,1,"$6,667,960 "
CA1210024,WESTHAVEN C.S.D.,HUMBOLDT,DISTRICT 01 - KLAMATH,No Risk,Low Risk,High Risk,No Risk,490,Not At-Risk,1,"$22,141,600 "
CA1300009,WINTERHAVEN COUNTY WATER DISTRICT,IMPERIAL,LPA43 - IMPERIAL COUNTY,Medium Risk,Low Risk,High Risk,No Risk,394,Failing,1,"$1,295,804 "
CA1300018,GATEWAY,IMPERIAL,LPA43 - IMPERIAL COUNTY,Medium Risk,High Risk,No Risk,Low Risk,"1,800",At-Risk,1,$0 
CA1300513,OCOTILLO MUTUAL WATER CO,IMPERIAL,LPA43 - IMPERIAL COUNTY,No Risk,High Risk,High Risk,Low Risk,150,At-Risk,1,$0 
CA1300514,COYOTE VALLEY MUTUAL WATER CO,IMPERIAL,LPA43 - IMPERIAL COUNTY,No Risk,Low Risk,High Risk,No Risk,125,Not At-Risk,1,$0 
CA1300546,GOLD ROCK RANCH,IMPERIAL,LPA43 - IMPERIAL COUNTY,Low Risk,Low Risk,Low Risk,High Risk,40,Potentially At-Risk,1,$0 
CA1300550,COUNTRY LIFE MH & RV PARK,IMPERIAL,LPA43 - IMPERIAL COUNTY,No Risk,High Risk,High Risk,Low Risk,600,Potentially At-Risk,1,$0 
CA1300553,MAGNOLIA UNION SCHOOL,IMPERIAL,LPA43 - IMPERIAL COUNTY,Medium Risk,High Risk,Low Risk,Low Risk,142,At-Risk,1,$0 
CA1300554,MEADOWS UNION ELEMENTARY SCHOOL,IMPERIAL,LPA43 - IMPERIAL COUNTY,High Risk,High Risk,Low Risk,No Risk,550,Failing,1,$0 
CA1300555,MITCHELLS CAMP FAMILY ASSOC.,IMPERIAL,LPA43 - IMPERIAL COUNTY,High Risk,High Risk,Low Risk,No Risk,175,Failing,1,$0 
CA1300556,MULBERRY UNION SCHOOL,IMPERIAL,LPA43 - IMPERIAL COUNTY,Medium Risk,High Risk,Low Risk,Low Risk,85,At-Risk,1,$0 
CA1300560,PINE UNION SCHOOL,IMPERIAL,LPA43 - IMPERIAL COUNTY,Medium Risk,High Risk,Medium Risk,No Risk,217,At-Risk,1,$0 
CA1300572,VALLEY MOBILE HOME PARK,IMPERIAL,LPA43 - IMPERIAL COUNTY,No Risk,High Risk,High Risk,Medium Risk,70,At-Risk,1,$0 
CA1300575,DATE GARDENS MOBILE HOME PARK,IMPERIAL,LPA43 - IMPERIAL COUNTY,No Risk,High Risk,High Risk,Medium Risk,202,At-Risk,1,$0 
CA1300579,MCCABE UNION SCHOOL,IMPERIAL,LPA43 - IMPERIAL COUNTY,Medium Risk,Low Risk,No Risk,No Risk,"1,250",Not At-Risk,1,$0 
CA1300588,IID VILLAGE,IMPERIAL,LPA43 - IMPERIAL COUNTY,High Risk,Low Risk,Low Risk,Medium Risk,37,Failing,1,$0 
CA1300616,PALO VERDE COUNTY WATER DIST.,IMPERIAL,LPA43 - IMPERIAL COUNTY,Low Risk,Low Risk,High Risk,High Risk,410,At-Risk,1,"$1,400,368 "
CA1300620,RIO BEND RV GOLF RESORT & STORM CROSSING,IMPERIAL,LPA43 - IMPERIAL COUNTY,No Risk,High Risk,No Risk,Low Risk,130,Not At-Risk,1,$0 
CA1300622,SPORTSMANS PARADISE,IMPERIAL,LPA43 - IMPERIAL COUNTY,Low Risk,Low Risk,Low Risk,No Risk,138,Failing,1,$0 
CA1300626,SUNBEAM LAKE RV RESORT,IMPERIAL,LPA43 - IMPERIAL COUNTY,Low Risk,Medium Risk,Low Risk,Low Risk,650,Potentially At-Risk,1,$0 
CA1300628,IMPERIAL LAKES INC.,IMPERIAL,LPA43 - IMPERIAL COUNTY,Low Risk,High Risk,Medium Risk,Medium Risk,40,At-Risk,1,$0 
CA1300629,JACKSON HIDE-A-WAY,IMPERIAL,LPA43 - IMPERIAL COUNTY,No Risk,Low Risk,Medium Risk,Low Risk,25,Not At-Risk,1,$0 
CA1300664,RIVERFRONT MUTUAL WATER COMPANY,IMPERIAL,LPA43 - IMPERIAL COUNTY,No Risk,Low Risk,High Risk,Low Risk,25,Not At-Risk,1,$0 
CA1310001,"BRAWLEY, CITY OF",IMPERIAL,DISTRICT 26 - IMPERIAL,Medium Risk,Medium Risk,Medium Risk,No Risk,"26,862",Potentially At-Risk,1,$0 
CA1310002,"CALEXICO, CITY OF",IMPERIAL,DISTRICT 26 - IMPERIAL,Medium Risk,Medium Risk,High Risk,Low Risk,"40,357",At-Risk,1,$0 
CA1310003,GSWC - CALIPATRIA,IMPERIAL,DISTRICT 26 - IMPERIAL,Medium Risk,Medium Risk,Medium Risk,No Risk,"7,363",At-Risk,1,$0 
CA1310004,"EL CENTRO, CITY OF",IMPERIAL,DISTRICT 26 - IMPERIAL,Medium Risk,No Risk,Low Risk,Low Risk,"43,772",Not At-Risk,1,$0 
CA1310005,"HOLTVILLE, CITY OF",IMPERIAL,DISTRICT 26 - IMPERIAL,High Risk,Medium Risk,No Risk,Low Risk,"6,355",At-Risk,1,"$4,432,267 "
CA1310006,"IMPERIAL, CITY OF",IMPERIAL,DISTRICT 26 - IMPERIAL,Medium Risk,Medium Risk,Low Risk,No Risk,"21,591",Potentially At-Risk,1,$0 
CA1310007,HEBER PUBLIC UTILITY DISTRICT,IMPERIAL,DISTRICT 26 - IMPERIAL,Medium Risk,No Risk,Medium Risk,No Risk,"6,979",Not At-Risk,1,$0 
CA1310008,"WESTMORLAND, CITY OF",IMPERIAL,DISTRICT 26 - IMPERIAL,High Risk,Medium Risk,High Risk,No Risk,"2,202",Failing,1,"$10,519,823 "
CA1310013,SEELEY CWD,IMPERIAL,DISTRICT 26 - IMPERIAL,Medium Risk,Medium Risk,Low Risk,Medium Risk,"1,729",At-Risk,1,$0 
CA1310700,NAF EL CENTRO,IMPERIAL,DISTRICT 26 - IMPERIAL,No Risk,Medium Risk,Low Risk,No Risk,637,Not At-Risk,1,$0 
CA1310800,CALIPATRIA STATE PRISON,IMPERIAL,DISTRICT 26 - IMPERIAL,No Risk,Medium Risk,Low Risk,Medium Risk,"4,800",Not At-Risk,1,$0 
CA1310801,CENTINELA STATE PRISON,IMPERIAL,DISTRICT 26 - IMPERIAL,No Risk,Medium Risk,Medium Risk,Medium Risk,"4,100",Potentially At-Risk,1,$0 
CA1400002,STARLITE COMMUNITY SERVICE DISTRICT,INYO,DISTRICT 27 - MOJAVE,No Risk,Low Risk,No Risk,No Risk,241,Not At-Risk,1,$0 
CA1400004,CHARLES BROWN WATER COMPANY,INYO,DISTRICT 13 - SAN BERNARDINO,High Risk,High Risk,Low Risk,High Risk,242,At-Risk,1,$0 
CA1400005,"OWENS VALLEY WATER RESOURCES, INC.",INYO,DISTRICT 13 - SAN BERNARDINO,No Risk,Low Risk,High Risk,Low Risk,311,Not At-Risk,1,$0 
CA1400006,PINE CREEK VILLAGE,INYO,DISTRICT 13 - SAN BERNARDINO,Low Risk,Low Risk,No Risk,Medium Risk,240,Not At-Risk,1,$0 
CA1400007,SIERRA HIGHLAND CSD,INYO,DISTRICT 13 - SAN BERNARDINO,No Risk,Low Risk,No Risk,No Risk,600,Not At-Risk,1,$0 
CA1400010,"ROLLING GREEN UTILITIES, INC.",INYO,DISTRICT 27 - MOJAVE,No Risk,Low Risk,No Risk,High Risk,"1,225",Not At-Risk,1,$0 
CA1400019,ROUND VALLEY SCHOOL,INYO,DISTRICT 13 - SAN BERNARDINO,No Risk,High Risk,No Risk,No Risk,80,Not At-Risk,1,$0 
CA1400020,ABERDEEN WATER SYSTEM,INYO,DISTRICT 27 - MOJAVE,No Risk,High Risk,No Risk,Low Risk,48,Not At-Risk,1,$0 
CA1400025,VALLEY VISTA MUTUAL WATER COMPANY,INYO,DISTRICT 13 - SAN BERNARDINO,No Risk,High Risk,Low Risk,Low Risk,70,Not At-Risk,1,$0 
CA1400026,RAWSON CREEK MUTUAL WATER COMPANY,INYO,DISTRICT 27 - MOJAVE,No Risk,Low Risk,Low Risk,Low Risk,90,Not At-Risk,1,$0 
CA1400027,CARTAGO MUTUAL WATER COMPANY,INYO,DISTRICT 13 - SAN BERNARDINO,No Risk,Low Risk,No Risk,Low Risk,132,Not At-Risk,1,$0 
CA1400030,GLENWOOD MOBILE ESTATES,INYO,DISTRICT 13 - SAN BERNARDINO,Low Risk,Low Risk,Medium Risk,Low Risk,468,Not At-Risk,1,$0 
CA1400031,RANCH ROAD ESTATES MUTUAL WATER COMPANY,INYO,DISTRICT 13 - SAN BERNARDINO,No Risk,Low Risk,No Risk,No Risk,65,Not At-Risk,1,$0 
CA1400034,KEOUGH'S HOT SPRINGS,INYO,DISTRICT 27 - MOJAVE,No Risk,Low Risk,Low Risk,No Risk,175,Not At-Risk,1,$0 
CA1400036,KEELER COMMUNITY SERVICE DISTRICT,INYO,DISTRICT 27 - MOJAVE,High Risk,High Risk,No Risk,High Risk,66,Failing,1,$0 
CA1400037,FOOTHILL MOBILE HOME PARK,INYO,DISTRICT 27 - MOJAVE,High Risk,Low Risk,No Risk,Medium Risk,49,Failing,1,$0 
CA1400045,PRIMROSE LANE APARTMENTS,INYO,DISTRICT 13 - SAN BERNARDINO,Low Risk,Low Risk,No Risk,Low Risk,73,Failing,1,$0 
CA1400056,BROOKSIDE ESTATES MUTUAL WATER COMPANY,INYO,DISTRICT 27 - MOJAVE,Low Risk,Low Risk,No Risk,No Risk,59,Not At-Risk,1,$0 
CA1400059,BROOKSIDE MOBILE HOME PARK,INYO,DISTRICT 27 - MOJAVE,No Risk,Low Risk,No Risk,Low Risk,126,Not At-Risk,1,$0 
CA1400064,BERNASCONI EDUCATION CENTER,INYO,DISTRICT 13 - SAN BERNARDINO,Not Assessed,Not Assessed,Not Assessed,Not Assessed,178,Not Assessed,1,$0 
CA1400066,ASPENDELL MUTUAL WATER COMPANY,INYO,DISTRICT 13 - SAN BERNARDINO,Medium Risk,Low Risk,No Risk,No Risk,60,Not At-Risk,1,$0 
CA1400070,SIERRA GRANDE ESTATES MUTUAL WATER CO.,INYO,DISTRICT 27 - MOJAVE,No Risk,High Risk,Low Risk,Low Risk,138,Not At-Risk,1,$0 
CA1400072,NORTH LONE PINE MUTUAL WATER COMPANY,INYO,DISTRICT 13 - SAN BERNARDINO,No Risk,High Risk,No Risk,No Risk,70,At-Risk,1,$0 
CA1400078,SCE BISHOP CREEK PLANT 4,INYO,DISTRICT 13 - SAN BERNARDINO,Medium Risk,High Risk,Low Risk,Medium Risk,38,At-Risk,1,$0 
CA1400098,DARWIN COMMUNITY SERVICE DISTRICT,INYO,DISTRICT 13 - SAN BERNARDINO,Low Risk,High Risk,No Risk,Low Risk,40,At-Risk,1,"$550,080 "
CA1400099,MOUNTAIN VIEW TRAILER COURT,INYO,DISTRICT 13 - SAN BERNARDINO,No Risk,High Risk,No Risk,Low Risk,320,Potentially At-Risk,1,$0 
CA1400109,SIERRA NORTH COMMUNITY SERVICE DISTRICT,INYO,DISTRICT 27 - MOJAVE,High Risk,High Risk,High Risk,Low Risk,42,Failing,1,$0 
CA1400110,PARK WEST MUTUAL WATER COMPANY,INYO,DISTRICT 13 - SAN BERNARDINO,Low Risk,Low Risk,No Risk,No Risk,188,Not At-Risk,1,$0 
CA1400111,MEADOWCREEK MUTUAL WATER COMPANY,INYO,DISTRICT 13 - SAN BERNARDINO,No Risk,Low Risk,Medium Risk,No Risk,764,Not At-Risk,1,$0 
CA1400135,WILSON CIRCLE MUTUAL WATER COMPANY,INYO,DISTRICT 13 - SAN BERNARDINO,Low Risk,Low Risk,High Risk,Low Risk,158,Potentially At-Risk,1,$0 
CA1400144,SUNLAND VILLAGE MOBILE HOME PARK,INYO,DISTRICT 13 - SAN BERNARDINO,No Risk,High Risk,No Risk,Low Risk,73,Not At-Risk,1,$0 
CA1400155,CONTROL GORGE POWER PLANT LADWP,INYO,DISTRICT 13 - SAN BERNARDINO,Medium Risk,High Risk,No Risk,Low Risk,32,At-Risk,1,$0 
CA1400511,MEADOW LAKE APARTMENTS,INYO,DISTRICT 13 - SAN BERNARDINO,No Risk,High Risk,No Risk,Low Risk,22,Not At-Risk,1,$0 
CA1400518,VAN LOON WATER ASSOCIATION,INYO,DISTRICT 13 - SAN BERNARDINO,No Risk,Low Risk,Medium Risk,No Risk,25,Not At-Risk,1,$0 
CA1400522,PALISADE GLACIER HIGH SCHOOL,INYO,DISTRICT 27 - MOJAVE,No Risk,No Risk,No Risk,No Risk,37,Not At-Risk,1,$0 
CA1410001,"BISHOP, CITY OF",INYO,DISTRICT 27 - MOJAVE,No Risk,Low Risk,No Risk,No Risk,"3,819",Not At-Risk,1,$0 
CA1410002,LADWP - INDEPENDENCE,INYO,DISTRICT 13 - SAN BERNARDINO,Not Assessed,Not Assessed,Not Assessed,Not Assessed,0,Not Assessed,1,$0 
CA1410003,LADWP - LONE PINE,INYO,DISTRICT 13 - SAN BERNARDINO,Not Assessed,Not Assessed,Not Assessed,Not Assessed,0,Not Assessed,1,$0 
CA1410004,LADWP - BIG PINE,INYO,DISTRICT 13 - SAN BERNARDINO,Not Assessed,Not Assessed,Not Assessed,Not Assessed,0,Not Assessed,1,$0 
CA1410005,INDIAN CREEK CSD,INYO,DISTRICT 13 - SAN BERNARDINO,No Risk,Low Risk,No Risk,No Risk,"1,030",Not At-Risk,1,$0 
CA1410006,BIG PINE CSD,INYO,DISTRICT 27 - MOJAVE,No Risk,No Risk,No Risk,No Risk,792,Not At-Risk,1,$0 
CA1410007,HIGHLAND MOBILE HOME PARK,INYO,DISTRICT 13 - SAN BERNARDINO,No Risk,Low Risk,Medium Risk,Medium Risk,"1,400",Not At-Risk,1,$0 
CA1410008,INYO COUNTY PWD - INDEPENDENCE,INYO,DISTRICT 27 - MOJAVE,Low Risk,Medium Risk,No Risk,Low Risk,"1,108",At-Risk,1,$0 
CA1410009,INYO COUNTY PWD - LONE PINE,INYO,DISTRICT 27 - MOJAVE,Low Risk,No Risk,Medium Risk,Low Risk,"1,835",Failing,1,$0 
CA1410502,"NPS - DEATH VALLEY, STOVEPIPE WELLS",INYO,DISTRICT 13 - SAN BERNARDINO,No Risk,High Risk,High Risk,High Risk,175,At-Risk,1,$0 
CA1410503,"NPS - DEATH VALLEY, COW CREEK/NEVARES",INYO,DISTRICT 13 - SAN BERNARDINO,Medium Risk,High Risk,Low Risk,Low Risk,88,At-Risk,1,$0 
CA1410505,"NPS - DEATH VALLEY, FURNACE CREEK",INYO,DISTRICT 13 - SAN BERNARDINO,No Risk,Low Risk,High Risk,Low Risk,150,Not At-Risk,1,$0 
CA1410510,LADWP - MANZANAR,INYO,DISTRICT 13 - SAN BERNARDINO,Not Assessed,Not Assessed,Not Assessed,Not Assessed,0,Not Assessed,1,$0 
CA1410800,CDF - OWENS VALLEY CONSERVATION CAMP,INYO,DISTRICT 13 - SAN BERNARDINO,No Risk,Low Risk,No Risk,Medium Risk,94,Not At-Risk,1,$0 
CA1500096,OLD RIVER MUTUAL WATER COMPANY,KERN,DISTRICT 19 - TEHACHAPI,High Risk,High Risk,Medium Risk,Low Risk,130,Failing,1,$0 
CA1500152,MIRASOL COMPANY WATER SYSTEM,KERN,DISTRICT 12 - VISALIA,No Risk,High Risk,Low Risk,Low Risk,26,Potentially At-Risk,1,$0 
CA1500209,ALTA SIERRA MUTUAL WATER CO.,KERN,DISTRICT 19 - TEHACHAPI,No Risk,Low Risk,High Risk,No Risk,143,Not At-Risk,1,$0 
CA1500211,STOCKDALE ANNEX MUTUAL WATER,KERN,DISTRICT 12 - VISALIA,Low Risk,Medium Risk,Low Risk,No Risk,433,Not At-Risk,1,$0 
CA1500231,VICTORY MUTUAL WATER COMPANY,KERN,DISTRICT 12 - VISALIA,High Risk,High Risk,High Risk,Low Risk,849,Failing,1,"$3,095,961 "
CA1500251,RIVERKERN MUTUAL WATER COMPANY,KERN,DISTRICT 19 - TEHACHAPI,Medium Risk,Low Risk,High Risk,Low Risk,272,At-Risk,1,$0 
CA1500252,KERN VALLEY MUTUAL WATER COMPANY,KERN,DISTRICT 19 - TEHACHAPI,Low Risk,High Risk,High Risk,Low Risk,132,Failing,1,$0 
CA1500289,ATHAL MUTUAL WATER SYSTEM,KERN,DISTRICT 19 - TEHACHAPI,High Risk,High Risk,High Risk,Low Risk,150,Failing,1,$0 
CA1500290,NORTH MUROC MUTUAL WATER COMPANY,KERN,DISTRICT 19 - TEHACHAPI,No Risk,No Risk,High Risk,Low Risk,270,Not At-Risk,1,$0 
CA1500296,FULLER ACRES MUTUAL WATER COMPANY,KERN,DISTRICT 19 - TEHACHAPI,High Risk,Medium Risk,High Risk,Low Risk,545,Failing,1,$0 
CA1500314,DEL ORO WC - COUNTRY ESTATES DIST,KERN,DISTRICT 12 - VISALIA,High Risk,High Risk,High Risk,No Risk,297,Failing,1,"$3,095,961 "
CA1500324,WONDER ACRES WATER SYSTEM,KERN,DISTRICT 19 - TEHACHAPI,No Risk,Medium Risk,High Risk,No Risk,92,Not At-Risk,1,$0 
CA1500327,RANCHO SECO INC. WATER SYSTEM,KERN,DISTRICT 19 - TEHACHAPI,Low Risk,High Risk,High Risk,Low Risk,33,Failing,1,$0 
CA1500333,CWS - FREMONT VALLEY,KERN,DISTRICT 19 - TEHACHAPI,Low Risk,Low Risk,High Risk,No Risk,167,Potentially At-Risk,1,$0 
CA1500336,BURLANDO HEIGHTS MUTUAL WATER CO.,KERN,DISTRICT 19 - TEHACHAPI,Low Risk,Low Risk,Low Risk,No Risk,44,Not At-Risk,1,$0 
CA1500340,WEST TEHACHAPI MUTUAL,KERN,DISTRICT 19 - TEHACHAPI,No Risk,High Risk,No Risk,No Risk,150,Not At-Risk,1,$0 
CA1500341,SIERRA BELLA MUTUAL WATER COMPANY,KERN,DISTRICT 19 - TEHACHAPI,No Risk,Low Risk,High Risk,No Risk,60,Not At-Risk,1,$0 
CA1500344,SOUTH KERN MUTUAL WATER COMPANY,KERN,DISTRICT 19 - TEHACHAPI,High Risk,High Risk,No Risk,High Risk,32,Failing,1,$0 
CA1500349,STOCKDALE MUTUAL WATER CO.,KERN,DISTRICT 12 - VISALIA,Low Risk,Medium Risk,No Risk,Low Risk,200,Potentially At-Risk,1,$0 
CA1500364,KERNVALE MUTUAL WATER CO,KERN,DISTRICT 19 - TEHACHAPI,No Risk,High Risk,High Risk,Low Risk,75,Failing,1,$0 
CA1500371,UNION PACIFIC RAILROAD CO.-KEENE WATER,KERN,DISTRICT 19 - TEHACHAPI,Low Risk,High Risk,No Risk,Low Risk,208,Failing,1,$0 
CA1500374,CWS-GRAND OAKS WATER SYSTEM,KERN,DISTRICT 19 - TEHACHAPI,No Risk,Low Risk,No Risk,Low Risk,122,Not At-Risk,1,$0 
CA1500378,MAHER MUTUAL WATER COMPANY,KERN,DISTRICT 12 - VISALIA,High Risk,Low Risk,High Risk,No Risk,140,At-Risk,1,$0 
