PWSID,Water_System_Name,County,Regulating_agency,Water_System_Type,Service_Connections,Population, Primary_Service_Area,Water_Quality_Category_Score,Accessibility_Category_Score,Affordability_Category_Score,TMF_Capacity_Category_Score,Total_Risk_Assessment_Score,Automatically_At_Risk,Risk_Assessment_Result,Failing_Status,SAFER_Status,Number_of_Water_Sources,Absence_of_Interties,Source_Capacity_Violations,Bottled_Water_or_Hauled_Water_Reliance,Significant_Deficiencies
CA1503226,QVWD-WEST & EAST COMBINED WATER SYSTEM,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,77,192,RESIDENTIAL AREA              ,0,0.33,1.33,1,0.67,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,2,Y,N,N,0
CA1503270,LAKE ISABELLA COMMUNITY SERVICES DIST,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,142,500,RESIDENTIAL AREA              ,0,1,1.42,0.17,0.65,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,1,N,N,N,0
CA1503329,HART CREEK ESTATES MUTUAL WATER CO.,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,93,148,RESIDENTIAL AREA              ,0.25,0.33,0.92,0,0.38,--,Not At-Risk,Non-Failing,Not At-Risk,3,Y,N,N,0
CA1503368,SOUTH FORK MIDDLE SCHOOL,KERN,DISTRICT 19 - TEHACHAPI,NON-TRANSIENT NON-COMMUNITY,1,204,SCHOOL                        ,1.5,1.33,0.67,0,0.88,--,At-Risk,Non-Failing,At-Risk,1,Y,N,N,0
CA1503475,WESTERN ACRES MUTUAL WATER COMPANY,KERN,DISTRICT 12 - VISALIA,COMMUNITY,110,380,RESIDENTIAL AREA              ,0.75,1,1.08,0.67,0.88,--,At-Risk,Failing,Failing,3,Y,N,N,0
CA1503509,THE ANNE SIPPI CLINIC-RIVERSIDE RANCH,KERN,DISTRICT 12 - VISALIA,COMMUNITY,4,51,OTHER RESIDENTIAL AREA        ,2.5,2.17,0,0.67,1.34,--,At-Risk,Non-Failing,At-Risk,1,Y,N,N,0
CA1503526,WINI MUTUAL WATER COMPANY,KERN,DISTRICT 12 - VISALIA,COMMUNITY,12,29,RESIDENTIAL AREA              ,3,2.67,1.67,0,1.84,--,At-Risk,Failing,Failing,1,Y,N,N,0
CA1503536,GLENNVILLE MUTUAL WATER COMPANY,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,25,100,RESIDENTIAL AREA              ,0,1.5,1.33,0.67,0.88,--,At-Risk,Non-Failing,At-Risk,1,Y,N,N,0
CA1503669,NORTH KRANENBURG WS,KERN,DISTRICT 12 - VISALIA,COMMUNITY,9,28,RESIDENTIAL AREA              ,2,2.67,0,0.33,1.25,--,At-Risk,Failing,Failing,1,Y,N,N,0
CA1503683,PEAK TO PEAK MOUNTAIN CHARTER SCHOOL WS,KERN,DISTRICT 19 - TEHACHAPI,NON-TRANSIENT NON-COMMUNITY,3,100,SCHOOL                        ,0.5,3,0.67,0.67,1.21,At-Risk,At-Risk,Non-Failing,At-Risk,0,Y,N,Y,0
CA1503684,148 EAST WATER SYSTEM,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,14,36,RESIDENTIAL AREA              ,1,2,1.08,0.67,1.19,--,At-Risk,Failing,Failing,1,Y,N,N,0
CA1510001,ARVIN COMMUNITY SERVICES DIST,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,4246,19669,RESIDENTIAL AREA              ,0.31,1,0.67,0,0.5,--,Not At-Risk,Non-Failing,Not At-Risk,7,Y,N,N,0
CA1510002,BORON CSD,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,631,2086,RESIDENTIAL AREA              ,1.5,0,1.42,0.67,0.9,--,At-Risk,Non-Failing,At-Risk,2,N,N,N,0
CA1510004,"CASA LOMA WATER CO, INC.",KERN,DISTRICT 12 - VISALIA,COMMUNITY,248,900,RESIDENTIAL AREA              ,0,0.67,2,0,0.67,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,3,N,N,N,0
CA1510005,"DELANO, CITY OF",KERN,DISTRICT 12 - VISALIA,COMMUNITY,10112,51428,RESIDENTIAL AREA              ,2.5,0.67,0.67,0.33,1.04,--,At-Risk,Non-Failing,At-Risk,14,N/A,N,N,0
CA1510006,EAST NILES CSD,KERN,DISTRICT 12 - VISALIA,COMMUNITY,8238,32517,RESIDENTIAL AREA              ,3.25,0.67,0.67,0.33,1.23,--,At-Risk,Failing,Failing,6,N,N,N,0
CA1510007,FRAZIER PARK PUD,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,1313,2592,RESIDENTIAL AREA              ,1.13,0.33,1.67,0.67,0.95,--,At-Risk,Non-Failing,At-Risk,3,Y,N,N,0
CA1510009,ERSKINE CREEK WC,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,1131,2500,RESIDENTIAL AREA              ,1,0.33,1.42,0.17,0.73,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,3,Y,N,N,0
CA1510011,BUTTONWILLOW CWD,KERN,DISTRICT 12 - VISALIA,COMMUNITY,416,1508,RESIDENTIAL AREA              ,0.38,1,1.08,0,0.62,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,4,Y,N,N,0
CA1510012,LAMONT PUBLIC UTILITY DIST,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,3169,19057,RESIDENTIAL AREA              ,2.75,1,1.42,0,1.29,--,At-Risk,Failing,Failing,7,Y,N,N,0
CA1510013,"MCFARLAND, CITY OF",KERN,DISTRICT 12 - VISALIA,COMMUNITY,2849,15506,RESIDENTIAL AREA              ,3.58,1,0.67,0.83,1.52,--,At-Risk,Failing,Failing,3,Y,N,N,0
CA1510014,MOJAVE PUD,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,1201,4699,RESIDENTIAL AREA              ,0,0,1.08,0,0.27,--,Not At-Risk,Non-Failing,Not At-Risk,8,N,N,N,0
CA1510015,OILDALE MWC,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,12683,39756,RESIDENTIAL AREA              ,0.5,0.67,0.67,0.67,0.63,--,Potentially At-Risk,Failing,Failing,9,N/A,N,N,0
CA1510016,RAND COMMUNITIES WATER DISTRICT,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,274,303,RESIDENTIAL AREA              ,2.5,0.5,1.5,0.67,1.29,--,At-Risk,Failing,Failing,2,Y,N,N,0
CA1510017,INDIAN WELLS VALLEY W.D.,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,12377,31024,RESIDENTIAL AREA              ,1.5,0.67,0,0.33,0.63,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,13,N/A,N,N,0
CA1510018,ROSAMOND CSD,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,5293,17711,RESIDENTIAL AREA              ,2,0,0,0,0.5,--,Not At-Risk,Non-Failing,Not At-Risk,3,N,N,N,0
CA1510019,"SHAFTER, CITY OF",KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,4884,21036,RESIDENTIAL AREA              ,2.8,1,0.67,0.67,1.29,--,At-Risk,Failing,Failing,7,Y,N,N,0
CA1510020,"TEHACHAPI, CITY OF",KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,3410,9094,RESIDENTIAL AREA              ,1,0,0,0.67,0.42,--,Not At-Risk,Non-Failing,Not At-Risk,7,N,N,N,0
CA1510021,"WASCO, CITY OF",KERN,DISTRICT 12 - VISALIA,COMMUNITY,5531,22652,RESIDENTIAL AREA              ,2.88,1,1,0,1.22,--,At-Risk,Failing,Failing,7,Y,N,N,0
CA1510022,WEST KERN WATER DISTRICT,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,7165,20500,RESIDENTIAL AREA              ,0.9,0.67,0.33,0.33,0.56,--,Not At-Risk,Non-Failing,Not At-Risk,13,N/A,N,N,0
CA1510023,LAKE OF THE WOODS MWC,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,392,779,RESIDENTIAL AREA              ,2.35,0.5,1.83,0,1.17,--,At-Risk,Non-Failing,At-Risk,5,Y,N,N,0
CA1510024,GREENFIELD COUNTY WD,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,3512,11590,RESIDENTIAL AREA              ,0,1,0.67,0,0.42,--,Not At-Risk,Non-Failing,Not At-Risk,7,Y,N,N,0
CA1510026,CWS - UPPER BODFISH WATER SYSTEM,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,192,308,RESIDENTIAL AREA              ,2,0.33,1.67,0.33,1.08,--,At-Risk,Non-Failing,At-Risk,2,Y,N,N,0
CA1510027,DESERT LAKE COMM SERV DIST,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,242,968,RESIDENTIAL AREA              ,0.5,0,0.33,0.67,0.38,--,Not At-Risk,Non-Failing,Not At-Risk,2,N,N,N,0
CA1510028,MIL POTRERO MWC,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,2395,1600,RESIDENTIAL AREA              ,0,0.33,0.67,0,0.25,--,Not At-Risk,Non-Failing,Not At-Risk,9,Y,N,N,0
CA1510029,VAUGHN WC INC,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,11448,37075,RESIDENTIAL AREA              ,0.38,0.67,0,0.33,0.35,--,Not At-Risk,Non-Failing,Not At-Risk,13,N/A,N,N,0
CA1510032,"CALIFORNIA CITY, CITY OF",KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,4757,14198,RESIDENTIAL AREA              ,0,0,1.42,0,0.36,--,Not At-Risk,Non-Failing,Not At-Risk,5,N,N,N,0
CA1510033,CWS - KERNVILLE,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,1891,2585,RESIDENTIAL AREA              ,1.28,0.33,1.67,0.33,0.9,--,At-Risk,Non-Failing,At-Risk,5,Y,N,N,0
CA1510036,INYOKERN CSD,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,265,782,RESIDENTIAL AREA              ,1,4,0.33,0.33,1.42,At-Risk,At-Risk,Failing,Failing,1,Y,Y,Y,0
CA1510038,BEAR VALLEY CSD,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,3051,5592,RESIDENTIAL AREA              ,0,0.33,0.17,0.17,0.17,--,Not At-Risk,Non-Failing,Not At-Risk,7,Y,N,N,0
CA1510039,CWS SOUTHLAKE SYSTEM,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,813,1117,RESIDENTIAL AREA              ,0,0,1.67,0.33,0.5,--,Not At-Risk,Non-Failing,Not At-Risk,5,N,N,N,0
CA1510042,MOUNTAIN MESA WC,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,376,777,RESIDENTIAL AREA              ,2.25,0,1,0.67,0.98,--,At-Risk,Non-Failing,At-Risk,3,N,N,N,0
CA1510043,CWS-ONYX WATER SYSTEM,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,193,286,RESIDENTIAL AREA              ,1.75,0.33,1.67,0.33,1.02,--,At-Risk,Non-Failing,At-Risk,2,Y,N,N,0
CA1510045,GOLDEN HILLS CSD,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,2987,9857,RESIDENTIAL AREA              ,0,0,0,0,0,--,Not At-Risk,Non-Failing,Not At-Risk,10,N/A,N,N,0
CA1510046,LOST HILLS UTILITY DISTRICT,KERN,DISTRICT 12 - VISALIA,COMMUNITY,461,2370,RESIDENTIAL AREA              ,2,1.17,1.08,0.67,1.23,--,At-Risk,Non-Failing,At-Risk,3,Y,N,N,0
CA1510049,CWS - LAKELAND,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,201,295,RESIDENTIAL AREA              ,3.63,0.33,1.67,0.33,1.49,--,At-Risk,Non-Failing,At-Risk,4,Y,N,N,0
CA1510051,LEBEC COUNTY WATER DISTRICT,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,297,1379,RESIDENTIAL AREA              ,3,0.33,2,0.83,1.54,--,At-Risk,Failing,Failing,3,Y,N,N,0
CA1510052,NORTH EDWARDS WD,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,271,1105,RESIDENTIAL AREA              ,2.5,0,1.08,0.67,1.06,--,At-Risk,Non-Failing,At-Risk,3,N,N,N,0
CA1510054,PINON PINES MWC,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,275,908,RESIDENTIAL AREA              ,3,0.33,1.67,0,1.25,--,At-Risk,Failing,Failing,4,Y,N,N,0
CA1510055,CWS - NORTH GARDEN,KERN,DISTRICT 12 - VISALIA,COMMUNITY,8352,22657,RESIDENTIAL AREA              ,3.29,0.67,0,0.33,1.07,--,At-Risk,Non-Failing,At-Risk,13,N/A,N,N,0
CA1510056,CWS - LOWER BODFISH WATER SYSTEM,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,549,739,RESIDENTIAL AREA              ,1.88,0.33,1.67,0.33,1.05,--,At-Risk,Non-Failing,At-Risk,3,Y,N,N,0
CA1510701,EDWARDS AFB - MAIN BASE,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,1088,11316,INSTITUTION                   ,2,0,0.67,0,0.67,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,7,N,N,N,0
CA1510703,CHINA LAKE NAVAL AIR WEAPONS STATION,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,969,5500,INSTITUTION                   ,0,0.67,0.67,0,0.34,--,Not At-Risk,Non-Failing,Not At-Risk,7,N,N,N,0
CA1510800,CCI - TEHACHAPI,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,1806,2993,INSTITUTION                   ,0,0.33,0.67,1,0.5,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0
CA1510801,WASCO ST. PRISON RECEPTION CTR,KERN,DISTRICT 12 - VISALIA,COMMUNITY,1768,5042,INSTITUTION                   ,2.5,1,0,1,1.13,--,At-Risk,Failing,Failing,2,Y,N,N,0
CA1510802,KERN VALLEY STATE PRISON,KERN,DISTRICT 19 - TEHACHAPI,COMMUNITY,2249,5000,INSTITUTION                   ,2.5,1.17,0.67,1,1.34,--,At-Risk,Non-Failing,At-Risk,2,Y,N,N,0
CA1600002,SUNSET VISTA ESTATES MHP,KINGS,LPA46 - KINGS COUNTY,COMMUNITY,109,400,MOBILE HOME PARK              ,0.25,2.17,0,0.67,0.77,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,1,Y,N,N,0
CA1600009,HANFORD CHRISTIAN SCHOOL,KINGS,LPA46 - KINGS COUNTY,NON-TRANSIENT NON-COMMUNITY,14,175,SCHOOL                        ,0,2,0,0,0.5,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA1600011,PIONEER ELEMENTARY SCHOOL,KINGS,LPA46 - KINGS COUNTY,NON-TRANSIENT NON-COMMUNITY,6,750,SCHOOL                        ,1,1,0,0,0.5,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0
CA1600013,LAKESIDE ELEMENTARY SCHOOL,KINGS,LPA46 - KINGS COUNTY,NON-TRANSIENT NON-COMMUNITY,5,388,SCHOOL                        ,0,2.17,0,0,0.54,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA1600015,KINGS RIVER HARDWICK SCHOOL,KINGS,LPA46 - KINGS COUNTY,NON-TRANSIENT NON-COMMUNITY,7,908,SCHOOL                        ,0.25,2.17,0,0,0.61,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,1,Y,N,N,0
CA1600017,ISLAND UNION SCHOOL,KINGS,LPA46 - KINGS COUNTY,NON-TRANSIENT NON-COMMUNITY,17,416,SCHOOL                        ,0,2.67,0.33,0,0.75,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,1,Y,N,N,0
CA1600023,AZCAL MANAGEMENT CO,KINGS,DISTRICT 12 - VISALIA,COMMUNITY,21,73,OTHER RESIDENTIAL AREA        ,0.25,1.5,0.33,1,0.77,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,1,Y,N,N,0
CA1600293,15TH AVENUE,KINGS,LPA46 - KINGS COUNTY,COMMUNITY,3,50,SECONDARY RESIDENCES          ,2,3.67,0.33,1,1.75,At-Risk,At-Risk,Non-Failing,At-Risk,1,Y,N,Y,0
CA1600507,HARDWICK WATER COMPANY,KINGS,LPA46 - KINGS COUNTY,COMMUNITY,40,69,RESIDENTIAL AREA              ,0,2,0,0,0.5,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA1610001,ARMONA COMMUNITY SERVICES DIST,KINGS,DISTRICT 12 - VISALIA,COMMUNITY,1366,4143,RESIDENTIAL AREA              ,0.42,1,1.08,0.33,0.71,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,3,Y,N,N,0
CA1610002,"AVENAL, CITY OF",KINGS,DISTRICT 12 - VISALIA,COMMUNITY,2140,13696,RESIDENTIAL AREA              ,0.5,1.33,0.33,0,0.54,--,Not At-Risk,Failing,Failing,1,Y,N,N,0
CA1610003,"HANFORD, CITY OF",KINGS,DISTRICT 12 - VISALIA,COMMUNITY,18712,62127,RESIDENTIAL AREA              ,1,0.67,1,0,0.67,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,12,N/A,N,N,0
CA1610004,"CORCORAN, CITY OF",KINGS,DISTRICT 12 - VISALIA,COMMUNITY,3560,21835,RESIDENTIAL AREA              ,2.19,0.67,0.67,0.5,1.01,--,At-Risk,Non-Failing,At-Risk,10,N/A,N,N,0
CA1610005,"LEMOORE, CITY OF",KINGS,DISTRICT 12 - VISALIA,COMMUNITY,7306,27185,RESIDENTIAL AREA              ,2.93,0.67,0,0,0.9,--,At-Risk,Failing,Failing,11,N/A,N,N,0
CA1610006,STRATFORD PUD,KINGS,DISTRICT 12 - VISALIA,COMMUNITY,364,1277,RESIDENTIAL AREA              ,0.25,1.17,0.33,0.5,0.56,--,Not At-Risk,Non-Failing,Not At-Risk,3,Y,N,N,0
CA1610007,HOME GARDEN CSD,KINGS,DISTRICT 12 - VISALIA,COMMUNITY,467,1750,RESIDENTIAL AREA              ,2.33,1.17,1.42,0.17,1.27,--,At-Risk,Non-Failing,At-Risk,3,Y,N,N,0
CA1610009,KETTLEMAN CITY CSD,KINGS,DISTRICT 12 - VISALIA,COMMUNITY,355,1136,RESIDENTIAL AREA              ,2.38,1,1.08,0.67,1.28,--,At-Risk,Failing,Failing,2,Y,N,N,0
CA1610700,LEMOORE NAVAL AIR STATION,KINGS,DISTRICT 12 - VISALIA,COMMUNITY,1396,15000,OTHER TRANSIENT AREA          ,1.75,1.33,0.67,1,1.19,--,At-Risk,Non-Failing,At-Risk,1,Y,N,N,0
CA1700502,ANDERSON SPRINGS CSD,LAKE,DISTRICT 03 - MENDOCINO,COMMUNITY,227,373,RESIDENTIAL AREA              ,0,2,1.33,0.33,0.92,--,At-Risk,Non-Failing,At-Risk,1,Y,N,N,0
CA1700508,GLENHAVEN MUTUAL WATER COMPANY,LAKE,DISTRICT 03 - MENDOCINO,COMMUNITY,131,300,RESIDENTIAL AREA              ,0,0.33,1.42,0.33,0.52,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0
CA1700518,LOCH LOMOND MUTUAL WATER CO,LAKE,DISTRICT 03 - MENDOCINO,COMMUNITY,238,693,RESIDENTIAL AREA              ,0,0.33,2,0.5,0.71,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,2,Y,N,N,0
CA1700519,CRESCENT BAY IMPROVEMENT COMPANY,LAKE,DISTRICT 03 - MENDOCINO,COMMUNITY,24,30,RESIDENTIAL AREA              ,0.75,1.5,0.92,0,0.79,--,Potentially At-Risk,Failing,Failing,1,Y,N,N,0
CA1700527,MOUNTAIN OF ATTENTION WATER,LAKE,DISTRICT 03 - MENDOCINO,COMMUNITY,26,40,OTHER RESIDENTIAL AREA        ,0.25,1.5,0.67,0,0.61,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,1,Y,N,N,0
CA1700536,SUNRISE SHORE MUTUAL WATER COMPANY,LAKE,DISTRICT 03 - MENDOCINO,COMMUNITY,42,83,RESIDENTIAL AREA              ,2,2,0.75,0,1.19,--,At-Risk,Non-Failing,At-Risk,1,Y,N,N,0
CA1700546,CLEAR WATER MUTUAL WATER COMPANY,LAKE,DISTRICT 03 - MENDOCINO,COMMUNITY,89,252,MOBILE HOME PARK              ,0.25,1.33,1.33,0,0.73,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,1,Y,N,N,0
CA1700549,CORINTHIAN BAY MUTUAL WATER COMPANY,LAKE,DISTRICT 03 - MENDOCINO,COMMUNITY,74,150,RESIDENTIAL AREA              ,0.75,0.33,0.33,0.67,0.52,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0
CA1700554,LAKE COUNTY CSA 13 - KONO TAYEE,LAKE,DISTRICT 03 - MENDOCINO,COMMUNITY,142,469,RESIDENTIAL AREA              ,0,1.33,0.67,0.67,0.67,At-Risk,At-Risk,Non-Failing,At-Risk,2,Y,N,Y,0
CA1700561,BLUE LAKES IMPROVEMENT CLUB,LAKE,DISTRICT 03 - MENDOCINO,COMMUNITY,43,86,RESIDENTIAL AREA              ,0,1.5,1.33,0,0.71,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,1,Y,N,N,0
CA1700568,HARBOR VIEW MUTUAL WATER COMPANY,LAKE,DISTRICT 03 - MENDOCINO,COMMUNITY,250,550,RESIDENTIAL AREA              ,0.25,1.33,0.92,0.67,0.79,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,1,Y,N,N,0
CA1700579,VILLA BLUE ESTATES WATER DISTRICT,LAKE,DISTRICT 03 - MENDOCINO,COMMUNITY,21,60,RESIDENTIAL AREA              ,0.25,2,0.33,1,0.9,--,At-Risk,Non-Failing,At-Risk,1,Y,N,N,0
CA1700580,TWIN CREEKS MOBILE AND RV VILLAGE,LAKE,DISTRICT 03 - MENDOCINO,COMMUNITY,17,50,RESIDENTIAL AREA              ,0.25,1.33,0.67,1,0.81,--,At-Risk,Non-Failing,At-Risk,1,Y,N,N,0
CA1700584,WESTWIND MOBILE HOME PARK,LAKE,DISTRICT 03 - MENDOCINO,COMMUNITY,38,104,MOBILE HOME PARK              ,0.25,1.33,0,1,0.65,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,1,Y,N,N,0
CA1700589,BLUE LAKES MOBILE HOME PARK,LAKE,DISTRICT 03 - MENDOCINO,COMMUNITY,23,32,MOBILE HOME PARK              ,0,1.5,0.33,0,0.46,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA1700592,KONOCTI SHORES,LAKE,DISTRICT 03 - MENDOCINO,COMMUNITY,99,277,RESIDENTIAL AREA              ,1.75,0.5,0,0.67,0.73,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,2,Y,N,N,0
CA1700595,CAL 20 VILLAGE AND MEADOW POINTE PARK,LAKE,DISTRICT 03 - MENDOCINO,COMMUNITY,91,255,RESIDENTIAL AREA              ,0.25,0.33,0.33,0,0.23,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0
CA1700596,BLUE LAKES VILLAGE,LAKE,DISTRICT 03 - MENDOCINO,COMMUNITY,44,65,RESIDENTIAL AREA              ,0,1.5,0,1,0.63,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,1,Y,N,N,0
CA1700606,BAYCLIFF WATER,LAKE,DISTRICT 03 - MENDOCINO,COMMUNITY,57,70,RESIDENTIAL AREA              ,0.25,2,0,0,0.56,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA1700609,LAZY S MOBILE RANCH,LAKE,DISTRICT 03 - MENDOCINO,COMMUNITY,24,73,MOBILE HOME PARK              ,0.75,1.5,0,1,0.81,--,At-Risk,Failing,Failing,1,Y,N,N,0
CA1700610,BELLA LAGO MOBILE HOME PARK,LAKE,DISTRICT 03 - MENDOCINO,COMMUNITY,46,152,MOBILE HOME PARK              ,0.25,2,0,0.67,0.73,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,1,Y,N,N,0
CA1700630,PIER 1900 HOMEOWNER'S ASSOCIATION,LAKE,DISTRICT 03 - MENDOCINO,COMMUNITY,54,152,RESIDENTIAL AREA              ,0.25,1.5,0.33,1,0.77,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,1,Y,N,N,0
CA1700657,WINDFLOWER POINT MUTUAL WATER COMPANY,LAKE,DISTRICT 03 - MENDOCINO,COMMUNITY,25,25,RESIDENTIAL AREA              ,0.75,1.5,1.33,0,0.9,--,At-Risk,Non-Failing,At-Risk,1,Y,N,N,0
CA1700674,WALNUT COVE MOBILE ESTATES,LAKE,DISTRICT 03 - MENDOCINO,COMMUNITY,60,200,RESIDENTIAL AREA              ,1.5,1.5,0,0.67,0.92,--,At-Risk,Non-Failing,At-Risk,1,Y,N,N,0
CA1700702,INNISFREE WATER COMPANY,LAKE,DISTRICT 03 - MENDOCINO,COMMUNITY,22,56,RESIDENTIAL AREA              ,1,1.5,0,0.67,0.79,--,Potentially At-Risk,Non-Failing,Potentially At-Risk,1,Y,N,N,0
CA1710001,CLEARLAKE OAKS COUNTY WATER DISTRICT,LAKE,DISTRICT 03 - MENDOCINO,COMMUNITY,2120,2359,SECONDARY RESIDENCES          ,0.5,2.33,1.42,0.17,1.11,--,At-Risk,Non-Failing,At-Risk,1,Y,Y,N,0
CA1710002,GOLDEN STATE WATER CO.-CLEARLAKE SYSTEM,LAKE,DISTRICT 03 - MENDOCINO,COMMUNITY,2131,4648,SECONDARY RESIDENCES          ,0,0,1.83,0,0.46,--,Not At-Risk,Non-Failing,Not At-Risk,2,N,N,N,0
CA1710003,HIGHLANDS MUTUAL WATER COMPANY,LAKE,DISTRICT 03 - MENDOCINO,COMMUNITY,2882,9510,SECONDARY RESIDENCES          ,0.25,0,1.67,0,0.48,--,Not At-Risk,Non-Failing,Not At-Risk,3,N,N,N,0
CA1710004,"LAKEPORT, CITY OF",LAKE,DISTRICT 03 - MENDOCINO,COMMUNITY,2314,4762,RESIDENTIAL AREA              ,0,0.33,0,0.33,0.17,--,Not At-Risk,Non-Failing,Not At-Risk,5,Y,N,N,0
CA1710005,LUCERNE WATER CO. - CAL WATER SERVICE,LAKE,DISTRICT 03 - MENDOCINO,COMMUNITY,1245,2174,SECONDARY RESIDENCES          ,0,1.33,0.67,0,0.5,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA1710006,KONOCTI COUNTY WATER DISTRICT,LAKE,DISTRICT 03 - MENDOCINO,COMMUNITY,1807,5928,SECONDARY RESIDENCES          ,0.25,0,0.33,1,0.4,--,Not At-Risk,Non-Failing,Not At-Risk,2,N,N,N,0
CA1710007,KELSEYVILLE CO WATERWORKS DISTRICT 3,LAKE,DISTRICT 03 - MENDOCINO,COMMUNITY,1267,4181,RESIDENTIAL AREA              ,0,0.33,0.33,0.67,0.33,--,Not At-Risk,Non-Failing,Not At-Risk,5,Y,N,N,0
CA1710008,NICE MUTUAL WATER COMPANY,LAKE,DISTRICT 03 - MENDOCINO,COMMUNITY,1058,2929,SECONDARY RESIDENCES          ,0.25,1.33,0,0,0.4,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA1710009,UPPER LAKE COUNTY WATER DISTRICT,LAKE,DISTRICT 03 - MENDOCINO,COMMUNITY,403,989,SECONDARY RESIDENCES          ,0,0.33,0.33,1,0.42,--,Not At-Risk,Non-Failing,Not At-Risk,2,Y,N,N,0
CA1710010,LOWER LAKE COUNTY WATER DISTRICT,LAKE,DISTRICT 03 - MENDOCINO,COMMUNITY,835,1355,SECONDARY RESIDENCES          ,1.35,0.33,1.33,1.67,1.17,--,At-Risk,Failing,Failing,8,Y,N,N,1
